Issue Type,Issue key,Issue id,Summary,Status,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Reporter,Resolved,Resolution,Assignee,Created,Custom field (BUH real date),Custom field (BUH Total amount with VAT),Custom field (Accountant),Custom field (BUH Payment Currency),Custom field (BUH ID Income/Consumption),Custom field (BUH Act Date),Custom field (BUH Company),Custom field (BUH CFO / Budget Item)
Прочее,ADM-68935,1260339,AGR Проверка контрагента ЦА для ОАЭ,ADM Согл с КА,ADM_Центр-Азия,комплаенс_проверка,,,,,,nina.li,,,,15.04.2026 15:23,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68932,1260329,AGR NDA DBFZ ,ADM КА П ПЕРВ,_Тверитинов,ADM_Центр-Азия,нетподписанта,обработано,,,,nina.li,,,,15.04.2026 15:17,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68923,1260212,DBFZ. ГПХ с ИП из ЦА: research юридических и налоговых рисков,ADM Согл с КА,ADM_Центр-Азия,,,,,,,zhanna.pavlova,,,,15.04.2026 11:47,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68911,1259895,DBFZ. Добавление в шаблон договора ГПХ условия о доплате за работу на тер КСА,ADM Доработка,ОАЭ,,,,,,,zhanna.pavlova,,,,14.04.2026 16:39,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68907,1259837,AirUZ: Договор в рамках тендера,Closed,ADM_Центр-Азия,,,,,,,roman.prokhorov,17.04.2026 14:47,Отклонено,,14.04.2026 15:33,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68905,1259829,Обоснование командировок сотрудников DBFZ в РФ,ADM Отложено,ОАЭ,,,,,,,oksana.belyakova,,,,14.04.2026 15:24,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68895,1259710,DBFZ легализация налогового сертификата для Узбекистана,Closed,ADM_Центр-Азия,ОАЭ,,,,,,nina.li,02.06.2026 09:15,Исправлено/Выполнено,,14.04.2026 12:38,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68872,1259514,PIXLIP: Work order 3: GenAI Stand,ADM Доработка,ОАЭ,обработано,,,,,,sabina.metlyaeva,,,,13.04.2026 20:23,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68869,1259489,DBFZ Доходный заказ от Т1А - WO 2,ADM Доработка,,,,,,,,natalya.voevodina,,,,13.04.2026 18:21,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68868,1259475,DBFZ Доходный заказ от Т1А - WO 1,ADM Доработка,,,,,,,,natalya.voevodina,,,,13.04.2026 18:05,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68867,1259473,DBFZ. Запрос от банка,Closed,ОАЭ,,,,,,,mariya.saveleva,28.04.2026 13:34,Исправлено/Выполнено,,13.04.2026 18:03,,,mariya.saveleva,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68821,1258797,Itransition - NDA DBFZ,ADM Доработка,ОАЭ,обработано,,,,,,olga.lazovskaya,,,,10.04.2026 17:43,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68809,1258717,VISA: WS. Merchant tool Phase 1 and 2,Closed,_Алиева,ОАЭ,обработано,,,,,evgeniy.pimenov,13.05.2026 11:17,Исправлено/Выполнено,,10.04.2026 16:24,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68791,1258409,DBFZ Легализация учредительных документов для заказчиков из Кыргызстана ,ADM Доработка,ADM_Центр-Азия,,,,,,,nina.li,,,,10.04.2026 10:55,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68775,1258221,PLATMA: NDA (DBFZ),Closed,_Алиева,ADM_Центр-Азия,обработано,,,,,anastasiya.soloveva,16.04.2026 10:07,Исправлено/Выполнено,,09.04.2026 17:02,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68692,1257045,FanRuan: согласование заказа для KOMP 2026 (DBFZ),ADM Доработка,обработано,,,,,,,viktoriya.lisenko,,,,07.04.2026 16:10,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68687,1256942,FanRuan: согласование заказа для KOMP 2026 (DBFZ),ADM Доработка,обработано,,,,,,,viktoriya.lisenko,,,,07.04.2026 14:11,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68648,1256329,NDA with Ejada ,ADM Доработка,ОАЭ,обработано,,,,,,olga.lazovskaya,,,,06.04.2026 15:08,,,noreply,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-68632,1256165,Авторизационное письмо о регистрации Alphyn MDM,Closed,_Тверитинов,Alphyn,,,,,,Anzhelika.Frolova,29.04.2026 13:32,Исправлено/Выполнено,,06.04.2026 12:43,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68605,1255545,DBFZ Договор с аниматором на пикник 10 Апреля 2026,ADM КА п экз GB,_Алиева,VAT_НПР,ОАЭ,обработано,,,,anastasiya.vavulina,,,,03.04.2026 16:27,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68602,1255486,KOMP: Заявка на работы по валидации PD моделей,ADM КА П ПЕРВ,_Алиева,ОАЭ,нетподписанта,обработано,,,,aleksandr.bryukhanov,,,,03.04.2026 15:14,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68589,1255289,DBSA: Municipal License (сбор документов для тендера),ADM Доработка,ОАЭ,,,,,,,eva.uglova,,,,03.04.2026 12:46,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-68583,1255104,KBAZ ДС к рамочному договору ,ADM КА п экз GB,_Алиева,ADM_Центр-Азия,обработано,,,,,nina.li,,,,03.04.2026 10:34,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68577,1254895,"ООО""Finnext""; DBFZ Договор на участие в конференции",ADM Отложено,FIN_ok,ОАЭ,обработано,,,,,nadezhda.sobol,,,,02.04.2026 17:27,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68555,1254760,Confluent - Event Sponsorship Agreement 2026,ADM Согл Ю+Б,ОАЭ,обработано,,,,,,olga.lazovskaya,,,,02.04.2026 15:18,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-68550,1254698,DBFZ: Доверенность Гаманюк Павел ,Closed,NoSLA,ОАЭ,,,,,,Pavel.Gamanyuk,03.06.2026 18:08,Исправлено/Выполнено,,02.04.2026 14:23,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68539,1254601,DBFZ доходный договор с T1A DE рамка,Closed,ОАЭ,,,,,,,natalya.voevodina,02.04.2026 15:54,Отклонено,,02.04.2026 12:46,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68476,1253597,DBFZ письмо в DU для отмены корпоративного номера ,Closed,_Алиева,ОАЭ,,,,,,anastasiya.vavulina,03.04.2026 12:42,Исправлено/Выполнено,,01.04.2026 10:11,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68474,1253545,Мин. ЖД Туркменистана. Письмо о намерении участвовать в тендере,ADM Согл с КА,ОАЭ,,,,,,,Mikhail.Kushnikov,,,,01.04.2026 08:36,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68470,1253458,KOMP: Рамочный договор с DBFZ на работы по ML,ADM КА П ПЕРВ,_Тверитинов,ОАЭ,нетподписанта,обработано,,,,aleksandr.bryukhanov,,,,31.03.2026 20:42,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68422,1252857,VISA- Change Order EDM and Power BI implementation for Dukhan bank,Closed,_Алиева,ОАЭ,,,,,,anastasiya.pisareva,02.04.2026 11:18,Исправлено/Выполнено,,31.03.2026 11:28,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68421,1252840,FISOFT: NDA (DBFZ),Closed,_Тверитинов,ОАЭ,нетподписанта,обработано,,,,anastasiya.soloveva,04.05.2026 09:51,Исправлено/Выполнено,,31.03.2026 11:16,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68411,1252470,DBSA: Страховка деятельности юр. лица 2026-2027,ADM БУМ АРХИВ,_Коломейцев,ОАЭ,нетподписанта,обработано,,,,yuliya.islamova,,,,30.03.2026 16:49,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-68407,1252398,BCG2500006: Addendum to the SOW ,ADM КА п экз GB,_Коломейцев,ОАЭ,обработано,,,,,sofiya.adzhiniyazova,,,,30.03.2026 15:54,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-68390,1252089,KRNK: ДС на изменение состава работ Заявки 5 к договору ADM-56724,ADM Согл БУ,ОАЭ,обработано,,,,,,linda.gerasimova,,,,30.03.2026 11:45,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68383,1251766,Irion - Partnership Agreement - DBFZ 2026,ADM Доработка,ОАЭ,обработано,,,,,,olga.lazovskaya,,,,27.03.2026 18:01,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68380,1251675,Gor Hovakimyan: ДС к ГПХ-договору на ИП,Closed,ОАЭ,,,,,,,tatyana.bykovskaya,03.04.2026 15:42,Исправлено/Выполнено,,27.03.2026 16:18,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68366,1251566,DBFZ. Запрос банка (Курошев),ADM Согл с КА,ОАЭ,,,,,,,n.chubukinasolovey,,,,27.03.2026 13:13,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68353,1251425,VISA - DBFZ : консультация по налогам на субподряд из РФ,ADM Доработка,ОАЭ,,,,,,,evgeniy.pimenov,,,,27.03.2026 12:17,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68308,1250802,CBUZ: Договор субподряда для тендера ADM-68306 (DBFZ),ADM Согл с КА,ОАЭ,,,,,,,irina.merkulova,,,,26.03.2026 11:30,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68301,1250722,DBFZ Доверенность на стороннее лицо для PayMe,Closed,_Тверитинов,ADM_Центр-Азия,ОАЭ,,,,,nina.li,01.04.2026 10:26,Исправлено/Выполнено,,26.03.2026 09:53,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68232,1249706,MENA UAE. Доп соглашение с сотрудником о выплате аванса на сьем квартиры,ADM Доработка,ОАЭ,,,,,,,Dinara.Alieva,,,,24.03.2026 11:33,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68224,1249506,DBFZ. Bonus Policy 2025,ADM Согл с КА,ОАЭ,,,,,,,zhanna.pavlova,,,,23.03.2026 18:18,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68205,1249007,BTSDKZ: Term Sheet,ADM Доработка,Alphyn,обработано,,,,,,valeriy.pankratov,,,,23.03.2026 13:21,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68189,1248737,VISA - Согласование Change Order №1 к Work Statement № CW2437620 ,ADM Отложено,ДТ,ОАЭ,,,,,,anastasiya.lysenko,,,,22.03.2026 23:06,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68154,1247862,DBFZ: Supplier Code of Conduct for Salik (Oracle) portal,ADM Согл с КА,ОАЭ,,,,,,,eva.uglova,,,,19.03.2026 15:25,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68130,1247368,DBFZ. Запрос Аудиторов,Closed,_Алиева,ОАЭ,,,,,,mariya.saveleva,03.06.2026 18:16,Исправлено/Выполнено,,18.03.2026 15:18,,,mariya.saveleva,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68109,1247041,Magnoos Заявка 1,ADM Согл с КА,МА,ОАЭ,,,,,,Igor.Marchenko,,,,17.03.2026 18:59,,,mariya.saveleva,,,,DBAD - Databorn FZ LLC Abu Dhabi,
Согласование договора,ADM-68108,1247039,Magnoos Рамочный договор,Closed,_Тверитинов,ОАЭ,нетподписанта,обработано,,,,Igor.Marchenko,12.05.2026 11:22,Исправлено/Выполнено,,17.03.2026 18:47,,,ekaterina.fomina,,,,DBAD - Databorn FZ LLC Abu Dhabi,
Согласование договора,ADM-68095,1246806,FstP NDA DBFZ,ADM КА П ПЕРВ,_Алиева,ОАЭ,обработано,,,,,nina.li,,,,17.03.2026 15:05,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68094,1246801,FstP Проверка контрагента ЦА для ОАЭ,Closed,комплаенсЦА,,,,,,,nina.li,19.03.2026 22:07,Исправлено/Выполнено,,17.03.2026 15:00,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68068,1246280,AVO: ДС 1 к Заказу №2 на ТП Alphin 2026,Closed,_Тверитинов,ОАЭ,обработано,,,,,olga.zagarina,23.04.2026 14:39,Исправлено/Выполнено,,16.03.2026 16:20,,,n.chubukinasolovey,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68056,1246109,The InnerCode Framework. Inc. : Master Services Agreement ,Closed,,,,,,,,anastasiya.pisareva,16.03.2026 15:20,Дубликат,,16.03.2026 13:11,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68055,1246106,InnerCode: Master Services Agreement  Innercode ,Closed,_Тверитинов,ОАЭ,нетподписанта,обработано,,,,anastasiya.pisareva,17.04.2026 10:37,Исправлено/Выполнено,,16.03.2026 13:07,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68039,1245984,OCS: Ревью договора DBFZ - OCS Oman (в т.ч. по Alphyn),ADM Согл с КА,Alphyn,,,,,,,maksim.simetskiy,,,,16.03.2026 11:14,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67982,1245539,TenX - Master Service Agreement with DBSA,ADM Доработка,CIF,ОАЭ,обработано,приоритет1,,,,olga.lazovskaya,,,,13.03.2026 13:56,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-67973,1245435,"Инструкция по заведению, согласованию и подписанию договоров бэк-офиса в Jira",Closed,ОАЭ,,,,,,,tatyana.bykovskaya,18.03.2026 12:13,Исправлено/Выполнено,,13.03.2026 11:24,,,a.kevrolikina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-67967,1245321,HCL - Addendum to ADM-61124 2026,Closed,_Коломейцев,ОАЭ,нетподписанта,приоритет0,,,,olga.lazovskaya,21.04.2026 12:28,Исправлено/Выполнено,,12.03.2026 21:46,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-67960,1244869,DATAGATE: Договор на построение хранилища данных Data LakeHouse ГК UCMG,ADM Доработка,ОАЭ,обработано,,,,,,anna.kuznetsova,,,,12.03.2026 15:08,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67956,1244792,DBFZ. Шаблон бесплатной лицензии Альфин,ADM Согл с КА,Alphyn,,,,,,,anton.melnik,,,,12.03.2026 13:19,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67955,1244789,DBFZ. Шаблон договора на лицензии и тех поддержку Альфин,ADM Согл с КА,Alphyn,,,,,,,Dinara.Alieva,,,,12.03.2026 13:18,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67953,1244753,DBFZ. Шаблон NDA под Альфин,ADM Согл с КА,Alphyn,,,,,,,Dinara.Alieva,,,,12.03.2026 13:14,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67933,1244370,Databorn KZ: Займ на Databorn Limited LLC 450 000 $ (третий),Closed,_Коломейцев,BUHCC_подано_РК,CIF_подано,ВГ_Срочные,ОАЭ,нетподписанта,обработано,natalya.voevodina,15.04.2026 12:42,Исправлено/Выполнено,,11.03.2026 18:59,,,lyazzat.tokseitova,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-67893,1244048,PIXLIP: Work order 2: GenAI Stand,ADM КА п экз GB,_Алиева,ОАЭ,нетподписанта,обработано,,,,sabina.metlyaeva,,,,11.03.2026 13:05,,,n.chubukinasolovey,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67844,1243400,MENA. Light комплаенс поставщиков КСА,ADM Согл с КА,ОАЭ,,,,,,,a.kevrolikina,,,,10.03.2026 15:46,,,a.kevrolikina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-67838,1243290,DBFZ. Annex к договору с Qshield,ADM Согл с КА,_Алиева,ОАЭ,,,,,,zhanna.pavlova,,,,10.03.2026 14:17,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67817,1242794,MENA. NDA с Avantesoft,Closed,_Алиева,ОАЭ,обработано,,,,,Dinara.Alieva,29.04.2026 14:04,Исправлено/Выполнено,,09.03.2026 17:52,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67802,1242643,Databorn KZ: Займ на Databorn FZ 450 000 $,Closed,_Алиева,_Суставов,BUHCC_подано_РК,ВГ_Срочные,ОАЭ,обработано,,natalya.voevodina,27.03.2026 14:18,Исправлено/Выполнено,,06.03.2026 17:16,,,lyazzat.tokseitova,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67794,1242512,DBFZ: возможность продажи ПО со скрытием его происхождения,ADM Согл с КА,ОАЭ,,,,,,,mariya.varcheva,,,,06.03.2026 16:11,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67781,1242301,Tigre Rossa Master Service Agreement 2026 ,Closed,_Тверитинов,МА,ОАЭ,,,,,anastasiya.pisareva,02.04.2026 16:38,Исправлено/Выполнено,,06.03.2026 12:13,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67761,1242135,DBFZ. Анализ применения статьи Non-competition and non-solicitation договора ГПХ для ЦА,Closed,ОАЭ,,,,,,,zhanna.pavlova,20.03.2026 09:52,Исправлено/Выполнено,,05.03.2026 18:14,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67735,1241652,DBFZ: продление реселлерского партнерского договора с FanRuan в СНГ 2026,Closed,_Тверитинов,МА,ОАЭ,нетподписанта,приоритет1,,,viktoriya.lisenko,12.05.2026 16:49,Исправлено/Выполнено,,04.03.2026 19:52,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67730,1241556,Шаблон лицензионного договора для продажи наших продуктов в ОАЭ,ADM Согл БУ,Alphyn,NoSLA,,,,,,Anzhelika.Frolova,,,,04.03.2026 17:07,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67717,1241426,Datamatics - NDA DBFZ,Closed,_Коломейцев,ОАЭ,нетподписанта,обработано,,,,olga.lazovskaya,25.03.2026 18:30,Исправлено/Выполнено,,04.03.2026 13:49,,,noreply,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-67713,1241399,ITAPLS Проверка контрагента ЦА для ОАЭ,ADM Доработка,ADM_Центр-Азия,комплаенс_проверка,,,,,,nina.li,,,,04.03.2026 13:14,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67692,1241108,Salesforce: согласование квоты на бесплатную лицензию Tableau в рамках партнерства 2026,Closed,_Алиева,ОАЭ,,,,,,viktoriya.lisenko,13.03.2026 11:46,Исправлено/Выполнено,,03.03.2026 18:52,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67672,1240919,DU: WO-1 Makhmudov ,Closed,_Алиева,ОАЭ,обработано,переподписание,,,,sofiya.adzhiniyazova,12.05.2026 14:05,Исправлено/Выполнено,,03.03.2026 15:15,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67651,1240649,YKVUAE: Work order 013 Makhmudov,ADM Согл с КА,ОАЭ,обработано,,,,,,sofiya.adzhiniyazova,,,,03.03.2026 11:43,,,ekaterina.fomina,,,,DBAD - Databorn FZ LLC Abu Dhabi,
Согласование договора,ADM-67647,1240580,NDA Халык Банк (проекты с Visa),ADM КА п экз GB,_Алиева,МА,ОАЭ,,,,,k.eremina,,,,03.03.2026 11:04,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67629,1240278,BTS: NDA с BDFZ для будущей партнёрки на продажу Альфинов,Closed,_Алиева,ОАЭ,нетподписанта,обработано,,,,valeriy.pankratov,17.03.2026 09:13,Исправлено/Выполнено,,02.03.2026 17:56,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67626,1240172,VISA PMP Data Pipeline Support,Closed,_Алиева,ОАЭ,обработано,,,,,anastasiya.pisareva,12.05.2026 10:13,Исправлено/Выполнено,,02.03.2026 16:52,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67613,1239861,KOMP NDA DBFZ ,Closed,_Алиева,ADM_Центр-Азия,обработано,,,,,nina.li,08.04.2026 14:21,Исправлено/Выполнено,,02.03.2026 13:20,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67540,1238763,DBFZ CVM SOLUTIONS LIMITED (Григорий Цомык): Annex №6 к Договору ГПХ,ADM КА П ПЕРВ,ОАЭ,,,,,,,Dinara.Alieva,,,,27.02.2026 10:52,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67539,1238652,DBFZ SoW 20 к расходному договору T1A DE,ADM Согл с КА,ОАЭ,обработано,,,,,,natalya.voevodina,,,,26.02.2026 19:39,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67538,1238648,DBFZ SoW 19 к расходному договору T1A DE,ADM GB п экз КА,ОАЭ,нетподписанта,обработано,,,,,natalya.voevodina,,,,26.02.2026 19:23,,,n.chubukinasolovey,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67537,1238639,DBFZ SoW 18 к расходному договору T1A DE,ADM GB п экз КА,ОАЭ,нетподписанта,обработано,,,,,natalya.voevodina,,,,26.02.2026 19:02,,,n.chubukinasolovey,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67514,1238344,DBSA. Портал Qawaem,ADM Доработка,ОАЭ,,,,,,,n.chubukinasolovey,,,,26.02.2026 13:13,,,n.chubukinasolovey,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-67510,1238339,Kearney - Addendum to Framework Agreement,Closed,_Тверитинов,ОАЭ,,,,,,olga.lazovskaya,20.03.2026 10:55,Исправлено/Выполнено,,26.02.2026 13:09,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67496,1238169,VISA: WS Al Rajhi - Credit Cards SME,ADM Согл с КА,_Алиева,ОАЭ,обработано,,,,,yan.egorov,,,,26.02.2026 11:04,,,n.chubukinasolovey,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67447,1237710,AirUZ: Анализ на наличие санкционных рисков подача от DBFZ,Closed,комплаенсЦА,,,,,,,roman.prokhorov,26.02.2026 17:57,Исправлено/Выполнено,,25.02.2026 12:58,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67434,1237450,DBFZ SoW 17 к расходному договору T1A DE,ADM GB п экз КА,ОАЭ,нетподписанта,обработано,,,,,natalya.voevodina,,,,24.02.2026 20:39,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67432,1237443,Confluent - Partner Agreement DBFZ 2026,Closed,ОАЭ,обработано,,,,,,olga.lazovskaya,03.03.2026 12:29,Исправлено/Выполнено,,24.02.2026 19:42,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67393,1236895,ABRTECH партнерский контракт консорциума с DBFZ,ADM Согл с КА,ОАЭ,обработано,,,,,,nina.li,,,,23.02.2026 19:41,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67391,1236893,ABRTECH Проверка контрагента ЦА для ОАЭ,ADM Согл с КА,ADM_Центр-Азия,ОАЭ,комплаенсЦА,,,,,nina.li,,,,23.02.2026 19:34,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67389,1236827,LEGAL: EMD оформить реквизиты на WIKI,Closed,ОАЭ,,,,,,,aleksandra.baldina,26.02.2026 12:42,Исправлено/Выполнено,,20.02.2026 21:20,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67380,1236802,VISA WO - Data Analytics Support - Al Rajhi Bank,Closed,_Алиева,ОАЭ,обработано,,,,,anastasiya.pisareva,07.05.2026 09:48,Исправлено/Выполнено,,20.02.2026 18:35,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67333,1236299,Ankura: Vendor Agreement (DBFZ и DBSA),ADM Согл с КА,CIF,ОАЭ,обработано,,,,,olga.zagarina,,,,20.02.2026 09:33,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67329,1236191,DBSA. Информация для аудиторов,Closed,_Коломейцев,ОАЭ,,,,,,n.chubukinasolovey,21.05.2026 10:21,Исправлено/Выполнено,,19.02.2026 18:03,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-67328,1236151,DBFZ. Возможность создания product families,Closed,Alphyn,,,,,,,ekaterina.fomina,18.03.2026 11:54,Исправлено/Выполнено,,19.02.2026 17:33,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67319,1236014,DBFZ. Анализ возможности создания VAT tax group,Closed,Alphyn,,,,,,,ekaterina.fomina,25.03.2026 16:41,Исправлено/Выполнено,,19.02.2026 15:31,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67317,1236001,YKVUAE: Work Order № 12,ADM КА п экз GB,_Алиева,ОАЭ,нетподписанта,обработано,,,,anastasiya.pisareva,,,,19.02.2026 15:14,,,ekaterina.fomina,,,,DBAD - Databorn FZ LLC Abu Dhabi,
Согласование договора,ADM-67307,1235875,DBSA Договор на участие в Databricks 23 апреля 2026,ADM Доработка,ОАЭ,обработано,,,,,,yuliya.islamova,,,,19.02.2026 12:39,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-67296,1235460,Visa- ADIB Vintage Dashboard Enhancements,Closed,_Алиева,ОАЭ,обработано,,,,,anastasiya.pisareva,01.04.2026 10:28,Исправлено/Выполнено,,18.02.2026 18:48,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67280,1235093,DBSA Подписать Политику ИБ,Closed,_Коломейцев,ОАЭ,нетподписанта,,,,,artem.antipov,03.03.2026 10:58,Исправлено/Выполнено,,18.02.2026 11:58,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
